Rank,Name,Symbol,marketcap,price (USD),country
1142,West Pharmaceutical,WST,20031922176,278.44,United States
1146,Lundin Gold,LUG.TO,19958428336,82.6667,Canada
1149,Quest Diagnostics,DGX,19920228352,178.14,United States
1152,Rogers Communication,RCI,19873032192,36.57,Canada
1155,Tyson Foods,TSN,19841796096,56.2,United States
1160,RB Global,RBA,19758376960,106.13,Canada
1162,NVR,NVR,19746385920,7146.45,United States
1163,J. B. Hunt,JBHT,19729629184,203.82,United States
1164,HP,HPQ,19712862208,21.09,United States
1167,C. H. Robinson,CHRW,19697010688,166.73,United States
1168,NiSource,NI,19658080256,41.54,United States
1174,Burlington Stores,BURL,19494787072,309.8,United States
1179,Texas Pacific Land Corporation,TPL,19398531072,281.39,United States
1180,Tyler Technologies,TYL,19391242240,448.23,United States
1182,Woodward,WWD,19354363904,322.59,United States
1184,SBA Communications,SBAC,19332659200,181.42,United States
1187,Coterra Energy,CTRA,19299811328,25.29,United States
1188,Exact Sciences,EXAS,19285899264,101.63,United States
1192,Lundin Mining,LUN.TO,19204500934,22.4412,Canada
1194,Trimble,TRMB,19080361984,80.18,United States
1197,Albemarle,ALB,19016392704,161.57,United States
1201,Dick's Sporting Goods,DKS,18900668416,210.08,United States
1202,The Trade Desk,TTD,18897643520,38.65,United States
1207,Global Payments,GPN,18802051072,77.5,United States
1211,Somnigroup International,SGI,18688079872,89.03,United States
1213,Packaging Corporation of America,PKG,18608513024,206.81,United States
1215,Gartner,IT,18606012416,245.67,United States
1216,MasTec,MTZ,18602549248,235.75,United States
1222,Snap-on,SNA,18391760896,352.58,United States
1224,Zimmer Biomet,ZBH,18365485056,92.67,United States
1226,Fortive,FTV,18317529088,54.14,United States
1239,Dupont De Nemours,DD,18112303104,43.23,United States
1246,Supermicro,SMCI,17915103232,30.01,United States
1247,Bunge Global SA,BG,17903298560,92.59,United States
1249,Tenet Healthcare,THC,17846902784,202.0,United States
1252,Lennox,LII,17736708096,504.97,United States
1261,BWX Technologies,BWXT,17575878656,192.24,United States
1263,McCormick & Company,MKC,17543718912,65.37,United States
1271,Essex Property Trust,ESS,17340329984,251.06,United States
1275,Alamos Gold,AGI,17271980032,41.14,Canada
1276,Medpace,MEDP,17269657600,613.09,United States
1278,International Flavors & Fragrances,IFF,17248120832,67.3,United States
1292,Genuine Parts Company,GPC,17049381888,122.56,United States
1297,CDW Corporation,CDW,16977607680,129.54,United States
1300,Carpenter Technology,CRS,16962991104,340.28,United States
1301,US Foods,USFD,16959926272,75.32,United States
1302,Bombardier,BBD-B.TO,16958288249,170.78,Canada
1304,XPO Logistics,XPO,16945963008,143.9,United States
1320,News Corp,NWS,16794474496,30.15,United States
1324,Weyerhaeuser,WY,16724624384,23.18,United States
1325,Hologic,HOLX,16720994304,74.96,United States
1327,Jones Lang LaSalle,JLL,16712307712,352.72,United States
1330,Evergy,EVRG,16692828160,72.51,United States
1331,Cooper Companies,COO,16680069120,83.9,United States
1332,TKO Group Holdings,TKO,16666396672,202.91,United States
1334,Allegheny Technologies,ATI,16655633408,120.84,United States
1339,Alliant Energy,LNT,16605668352,64.6,United States
1340,Zillow,Z,16500590592,68.17,United States
1343,Ivanhoe Mines,IVN.TO,16476887314,11.6065,Canada
1346,Tourmaline Oil,TOU.TO,16429160872,42.4514,Canada
1352,TransUnion,TRU,16265799680,83.5,United States
1353,GoDaddy,GDDY,16264991744,117.48,United States
1355,Alcoa,AA,16247403520,62.74,United States
1356,Jacobs Engineering,J,16244885504,136.8,United States
1358,Mid-America Apartment Communities,MAA,16201837568,134.98,United States
1361,Western Midstream,WES,16164789248,39.62,United States
1364,Gen Digital,GEN,16102457344,26.11,United States
1366,East West Bancorp,EWBC,16053479424,116.48,United States
1375,Guidewire Software,GWRE,15956398080,187.68,United States
1377,Magna International,MGA,15917639680,56.27,Canada
1379,AeroVironment,AVAV,15902409728,318.48,United States
1386,Sun Communities,SUI,15793382400,122.76,United States
1387,Hyatt Hotels,H,15791308800,165.38,United States
1388,Textron,TXT,15785425920,88.58,United States
1389,Reliance,RS,15781744640,300.07,United States
1392,"QXO, Inc.",QXO,15770912768,23.38,United States
1393,Annaly Capital Management,NLY,15737039872,23.04,United States
1409,F5,FFIV,15563370496,267.92,United States
1415,Kratos Defense &amp; Security Solutions,KTOS,15438794752,91.44,United States
1425,ITT,ITT,15306518528,177.9,United States
1426,Metro,MRU.TO,15294809136,70.31,Canada
1430,Deckers Brands,DECK,15285300224,103.04,United States
1443,Fidelity National Financial,FNF,15143303168,55.81,United States
1463,Entegris,ENTG,14834059264,97.85,United States
1466,Power Financial,PWF-PS.TO,14819013170,16.1222,Canada
1468,RBC Bearings,RBC,14774239232,467.37,United States
1470,Erie Indemnity,ERIE,14740513792,281.9,United States
1471,Emera,EMA.TO,14729326282,48.8137,Canada
1482,Ball Corporation,BALL,14568130560,53.53,United States
1485,W. P. Carey,WPC,14531506176,66.31,United States
1491,Best Buy,BBY,14461270016,68.83,United States
1493,LyondellBasell,LYB,14455314432,44.91,United States
1495,Ares Capital,ARCC,14443363328,20.18,United States
1497,Evercore,EVR,14428870656,373.05,United States
1498,Nutanix,NTNX,14401500160,53.26,United States
1499,Viatris,VTRS,14384661504,12.46,United States
1500,Pinnacle Financial Partners,PNFP,14382732288,95.71,United States
1503,Ally Financial,ALLY,14339875840,46.55,United States
1504,Wayfair,W,14335885312,109.99,United States
1506,Hecla Mining,HL,14320009216,21.37,United States
1516,Watsco,WSO,14205924352,349.3,United States
1523,Nordson,NDSN,14115533824,252.86,United States
1527,Neurocrine Biosciences,NBIX,14020614144,140.62,United States
1529,Huntington Ingalls Industries,HII,13987608576,356.45,United States
1532,Carlisle Companies,CSL,13964100608,326.64,United States
1533,Avery Dennison,AVY,13954137088,180.53,United States
1541,UDR Apartments,UDR,13862327296,36.82,United States
1551,Graco,GGG,13784122368,83.14,United States
1553,Domino's Pizza,DPZ,13766287360,405.5,United States
1554,Kimco Realty,KIM,13753832448,20.31,United States
1560,Omega Healthcare Investors,OHI,13710778368,45.14,United States
1565,Paramount Skydance,PSKY,13646177280,12.37,United States
1567,Pershing Square Holdings,PSHZF,13603843072,63.078,United States
1569,IDEX,IEX,13588602880,180.49,United States
1574,Lincoln Electric,LECO,13550984192,245.55,United States
1577,Jack Henry &amp; Associates,JKHY,13513547776,185.97,United States
1581,Ionis Pharmaceuticals,IONS,13471410176,83.17,United States
1583,Performance Food Group,PFGC,13462322176,85.85,United States
1584,Masco,MAS,13462082560,64.3,United States
1585,RPM International,RPM,13447606272,104.82,United States
1593,Unum,UNM,13354262528,78.41,United States
1594,Stifel,SF,13348955136,130.65,United States
1596,Jefferies Financial Group,JEF,13340145664,64.67,United States
1601,Reinsurance Group of America,RGA,13287487488,201.04,United States
1608,Universal Health Services,UHS,13261667328,208.39,United States
1611,Celsius Holdings,CELH,13234697216,51.34,United States
1612,Mueller Industries,MLI,13219503104,119.08,United States
1622,Franklin Resources,BEN,13112975360,25.15,United States
1623,AMH (American Homes 4 Rent),AMH,13101194240,31.01,United States
1629,AECOM,ACM,13049914368,98.53,United States
1630,Clean Harbors,CLH,13043449856,243.2,United States
1631,Amkor Technology,AMKR,13032038400,52.72,United States
1634,Toll Brothers,TOL,12992429056,134.8,United States
1644,Lamar Advertising,LAMR,12882258944,127.19,United States
1645,Regency Centers,REG,12877993984,69.99,United States
1646,Houlihan Lokey,HLI,12877559808,183.15,United States
1653,WESCO International,WCC,12808513536,263.21,United States
1655,MACOM,MTSI,12785063936,170.62,United States
1659,Madrigal Pharmaceuticals,MDGL,12744058880,561.13,United States
1664,Plains All American Pipeline,PAA,12706015232,18.01,United States
1665,Gaming and Leisure Properties,GLPI,12704244736,44.89,United States
1668,Akamai,AKAM,12686035968,88.18,United States
1675,CNA Financial,CNA,12604943360,46.57,United States
1678,Zebra Technologies,ZBRA,12556719104,246.96,United States
1679,CF Industries,CF,12551284736,77.49,United States
1684,First Horizon National,FHN,12485514240,24.59,United States
1690,TD Synnex,SNX,12452529152,151.0,United States
1691,Exelixis,EXEL,12434464768,46.19,United States
1692,CACI,CACI,12426240000,562.79,United States
1693,Clorox,CLX,12412723200,101.76,United States
1695,Host Hotels & Resorts,HST,12392095744,17.79,United States
1697,Penumbra,PEN,12381121536,316.15,United States
1698,Fannie Mae,FNMA,12379955200,10.69,United States
1699,Coeur Mining,CDE,12375288832,19.27,United States
1703,Invesco,IVZ,12348737536,27.69,United States
1705,MKS Instruments,MKSI,12306790400,183.22,United States
1709,Hormel Foods,HRL,12289396736,22.34,United States
1716,Globus Medical,GMED,12228083712,90.54,United States
1719,Hasbro,HAS,12212127744,87.02,United States
1721,Stanley Black &amp; Decker,SWK,12187897856,78.69,United States
1722,EPAM Systems,EPAM,12153066496,218.2,United States
1726,iA Financial,IAG.TO,12116384799,130.572,Canada
1728,Equity LifeStyle Properties,ELS,12108419072,59.68,United States
1730,Wynn Resorts,WYNN,12099748864,116.37,United States
1731,Align Technology,ALGN,12091450368,166.81,United States
1739,Texas Roadhouse,TXRH,12013605888,180.79,United States
1742,Revvity,RVTY,11954314240,102.99,United States
1745,Assurant,AIZ,11933603840,236.5,United States
1748,TopBuild,BLD,11876556800,422.07,United States
1749,AGNC Investment,AGNC,11864329216,11.06,United States
1750,Brown Forman,BF-A,11825737728,25.53,United States
1756,BioMarin Pharmaceutical,BMRN,11778530304,61.31,United States
1757,Healthpeak Properties,DOC,11772450816,16.94,United States
1764,Crown Holdings,CCK,11714367488,100.66,United States
1765,"BXP, Inc.",BXP,11698167808,66.13,United States
1766,Viper Energy,VNOM,11697734656,35.86,United States
1769,Saputo,SAP.TO,11678101793,28.4717,Canada
1770,Comerica,CMA,11677826048,91.38,United States
1777,Builders FirstSource,BLDR,11616490496,105.05,United States
1780,New York Times,NYT,11600840704,71.25,United States
1786,Camden Property Trust,CPT,11564670976,108.23,United States
1789,Gildan,GIL,11532062720,62.28,Canada
1791,Advanced Drainage Systems,WMS,11527029760,148.23,United States
1811,Lattice Semiconductor,LSCC,11365069824,83.02,United States
1812,Acuity Brands,AYI,11362789376,369.79,United States
1819,Globe Life,GL,11321054208,139.76,United States
1831,Stantec,STN,11225782272,98.28,Canada
1843,Booz Allen Hamilton,BAH,11124426752,90.26,United States
1845,Norwegian Cruise Line,NCLH,11117387776,24.42,United States
1846,American Financial Group,AFG,11111857152,133.23,United States
1848,Service Corporation International,SCI,11100961792,79.19,United States
1856,Five Below,FIVE,11065062400,200.61,United States
1868,AtkinsR̩alis,ATRL.TO,10967833021,66.1406,Canada
1869,FactSet,FDS,10962170880,292.95,United States
1879,CCL Industries,CCL-B.TO,10847547789,62.6132,Canada
1882,IGM Financial,IGM.TO,10826829053,45.9356,Canada
1884,SEI Investments,SEIC,10818429952,87.51,United States
1890,Essential Utilities,WTRG,10762808320,38.02,United States
1893,Webster Financial,WBS,10732464128,64.58,United States
1896,HealthSouth,EHC,10713993216,106.37,United States
1897,Penske Automotive Group,PAG,10680035328,161.71,United States
1901,Charles River Laboratories,CRL,10668438528,216.77,United States
1906,Dycom Industries,DY,10624242688,354.53,United States
1913,Old Republic International,ORI,10558691328,42.67,United States
1914,American Airlines,AAL,10554782720,15.99,United States
1915,Donaldson Company,DCI,10554563584,91.12,United States
1922,Baxter,BAX,10486737920,20.4,United States
1923,Manhattan Associates,MANH,10465299456,173.07,United States
1924,Pinnacle West Capital,PNW,10460941312,87.4,United States
1928,Pegasystems,PEGA,10411969536,60.86,United States
1936,SPX Corporation,SPXC,10365799424,208.0,United States
1939,The Ensign Group,ENSG,10332622848,178.38,United States
1945,Aritzia,ATZ.TO,10295377106,89.3031,Canada
1947,AES,AES,10290147328,14.45,United States
1949,BorgWarner,BWA,10267842560,47.45,United States
1956,CAE,CAE,10233375744,31.8,Canada
1961,J.M. Smucker Company,SJM,10187174912,95.48,United States
1963,Dillard's,DDS,10166851584,651.18,United States
1965,TMX Group,X.TO,10157650582,36.5147,Canada
1967,Antero Resources,AR,10151473152,32.86,United States
1968,Bio-Techne,TECH,10135616512,65.05,United States
1970,Sunoco,SUN,10121406464,53.8,United States
1974,Aramark,ARMK,10091410432,38.38,United States
1975,U-Haul,UHAL,10078326784,53.05,United States
1976,Iamgold,IAG,10069580800,16.98,Canada
1977,Permian Resources,PR,10056468480,13.5,United States
1983,Regal Rexnord,RRX,9986998272,150.43,United States
1988,Element Fleet Management,EFN.TO,9953106152,24.8866,Canada
1991,Leonardo DRS,DRS,9899799552,37.2,United States
1992,Gap Inc.,GAP,9896837120,26.61,United States
1994,Rambus,RMBS,9866135552,91.65,United States
1997,Applied Industrial Technologies,AIT,9845479424,260.8,United States
2008,Coca-Cola Consolidated,COKE,9791588352,146.99,United States
2011,EastGroup Properties,EGP,9789504512,183.5,United States
2012,Toromont,TIH.TO,9784765774,120.242,Canada
2013,Wintrust Financial,WTFC,9784486912,146.1,United States
2015,South State Corp,SSB,9775775744,96.59,United States
2016,ARC Resources,ARX.TO,9767585968,16.793,Canada
2022,Western Alliance Bancorporation,WAL,9701419008,87.9,United States
2037,Rexford Industrial,REXR,9638867968,39.37,United States
2040,Sterling Infrastructure,STRL,9591816192,312.24,United States
2046,Molina Healthcare,MOH,9559796736,176.38,United States
2047,Westlake Chemical,WLK,9552501760,74.47,United States
2050,GameStop,GME,9538121728,21.29,United States
2052,Saia,SAIA,9529539584,357.68,United States
2054,Repligen,RGEN,9515951104,169.05,United States
2060,Henry Schein,HSIC,9475912704,78.14,United States
2062,Whitecap Resources,WCP.TO,9471266452,7.68959,Canada
2067,A. O. Smith,AOS,9405498368,67.12,United States
2070,Flowserve,FLS,9394088960,71.83,United States
2071,Watts Water Technologies,WTS,9393182720,281.63,United States
2073,Ovintiv,OVV,9365500928,36.98,United States
2076,Owens Corning,OC,9345379328,111.75,United States
2077,MGM Resorts,MGM,9332038656,34.12,United States
2084,Chart Industries,GTLS,9291774976,206.7,United States
2085,Kinsale Capital Group,KNSL,9284117504,398.46,United States
2101,UMB Financial,UMBF,9132787712,120.24,United States
2104,AltaGas,ALA.TO,9111157545,29.2868,Canada
2107,Amdocs,DOX,9093038080,82.67,United States
2112,Molson Coors,TAP,9084901376,45.94,United States
2114,Oshkosh Corporation,OSK,9071405056,141.74,United States
2121,Alexandria Real Estate Equities,ARE,9018011648,52.18,United States
2122,Morningstar,MORN,9015912448,213.76,United States
2123,HF Sinclair,DINO,9013541888,48.18,United States
2126,Old National Bank,ONB,9003410432,23.04,United States
2127,Interpublic Group,IPG,8999164928,24.57,United States
2130,Skyworks Solutions,SWKS,8968826880,59.82,United States
2132,Knight-Swift,KNX,8951372800,55.14,United States
2138,Arrowhead Pharmaceuticals,ARWR,8925935616,65.69,United States
2144,TFI International,TFII,8897739776,107.4,Canada
2147,Zions Bancorporation,ZION,8880609280,60.15,United States
2148,Tetra Tech,TTEK,8876485632,33.78,United States
2153,POOLCORP,POOL,8844740608,237.01,United States
2155,Halozyme Therapeutics,HALO,8832710656,75.11,United States
2156,Federal Realty Investment Trust,FRT,8824878080,101.67,United States
2157,Pilgrim's Pride,PPC,8822512640,37.14,United States
2158,Paycom,PAYC,8822159360,156.82,United States
2164,First Majestic Silver,AG,8796988416,17.94,Canada
2166,Planet Fitness,PLNT,8793982976,104.4,United States
2169,Quebecor,QBR-B.TO,8769832080,37.5751,Canada
2174,Affiliated Managers Group,AMG,8742392832,307.7,United States
2175,Bio-Rad Laboratories,BIO,8742274048,324.09,United States
2178,Banco Popular,BPOP,8722918400,129.07,United States
2185,OGE Energy,OGE,8690675712,42.16,United States
2188,Cullen/Frost Bankers,CFR,8658826240,134.61,United States
2191,Columbia Banking System,COLB,8646049792,28.9,United States
2197,Axsome Therapeutics,AXSM,8604934144,170.69,United States
2207,Sanmina,SANM,8521867264,153.395,United States
2209,Lincoln National Corporation,LNC,8486477312,44.68,United States
2211,Advanced Energy,AEIS,8470087168,224.4,United States
2213,HealthEquity,HQY,8454694912,97.77,United States
2214,Paylocity,PCTY,8452416000,153.23,United States
2221,Primerica,PRI,8404255232,259.46,United States
2224,Hudbay Minerals,HBM,8394390016,21.19,Canada
2225,Canadian Utilities,CU.TO,8391164285,30.8593,Canada
2228,APA Corporation,APA,8368625152,23.39,United States
2229,Canadian Tire,CTC.TO,8368587074,156.656,Canada
2230,OneMain Financial,OMF,8360152064,70.33,United States
2232,Cadence Bancorp,CADE,8350280192,44.82,United States
2235,CubeSmart,CUBE,8327949824,36.33,United States
2237,Generac Power Systems,GNRC,8324921344,141.86,United States
2239,CareTrust REIT,CTRE,8317937152,37.25,United States
2241,Allison Transmission,ALSN,8316518912,99.46,United States
2242,Valmont Industries,VMI,8314840576,421.25,United States
2253,China Gold International Resources,CGG.TO,8269760719,20.8614,Canada
2258,Range Resources,RRC,8258084352,34.67,United States
2265,JBT Marel Corporation,JBTM,8227587584,158.31,United States
2268,OpenText,OTEX,8222794240,32.22,Canada
2270,Murphy USA,MUSA,8217579520,425.95,United States
2276,Armstrong World Industries,AWI,8192695296,189.39,United States
2277,The Toro Company,TTC,8190706688,83.66,United States
2291,Commercial Metals Company,CMC,8130930688,73.22,United States
2293,Lumen Technologies,LUMN,8127036416,7.92,United States
2294,Agree Realty,ADC,8122770432,70.46,United States
2296,AppFolio,APPF,8112841216,225.85,United States
2310,Bruker,BRKR,8054400000,53.01,United States
2313,The Mosaic Company,MOS,8030418944,25.3,United States
2314,LKQ Corporation,LKQ,8030119936,31.21,United States
2317,Bombardier Recreational Products,DOOO,8023764992,76.66,Canada
2318,AGCO,AGCO,8022779904,107.51,United States
2323,Commerce Bancshares,CBSH,8000811008,53.72,United States
2324,Cytokinetics,CYTK,7998571520,65.42,United States
2329,InterDigital,IDCC,7978864128,309.23,United States
2330,First Industrial Realty Trust,FR,7962324480,58.33,United States
2336,DaVita,DVA,7937214976,111.01,United States
2337,Lithia Motors,LAD,7935337472,327.23,United States
2338,AptarGroup,ATR,7934649856,120.44,United States
2341,Brixmor Property Group,BRX,7931051008,25.91,United States
2348,UGI Corporation,UGI,7904875520,36.8,United States
2360,Match Group,MTCH,7841875456,32.59,United States
2361,AutoNation,AN,7831305728,214.72,United States
2363,Campbell's,CPB,7829005312,26.26,United States
2364,Choice Properties REIT,CHP-UN.TO,7826590724,10.813,Canada
2375,Empire Company,EMP-A.TO,7797053838,33.8818,Canada
2376,Middleby,MIDD,7794443264,153.79,United States
2377,IES Holdings,IESC,7794439680,391.14,United States
2383,BOK Financial,BOKF,7766278656,122.09,United States
2389,Zurn Water Solutions,ZWS,7737574912,46.18,United States
2395,Globalstar,GSAT,7718117376,60.85,United States
2402,Conagra Brands,CAG,7692180992,16.08,United States
2404,NNN REIT,NNN,7689894400,40.49,United States
2405,Ryder,R,7675166208,188.16,United States
2406,Eldorado Gold,EGO,7674605568,38.01,Canada
2408,Churchill Downs,CHDN,7663185408,109.28,United States
2420,Eastman Chemical,EMN,7607647744,66.25,United States
2423,Capstone Copper,CS.TO,7593465976,9.94741,Canada
2430,Qorvo,QRVO,7550395904,81.49,United States
2435,VF Corporation,VFC,7501915648,19.2,United States
2440,National Fuel Gas,NFG,7478822400,78.71,United States
2448,Voya Financial,VOYA,7456951808,77.34,United States
2451,New Gold,NGD,7436370944,9.36,Canada
2460,Colliers International,CIGI,7407377408,145.41,Canada
2466,Descartes Systems Group,DSGX,7366491136,85.67,Canada
2468,Masimo,MASI,7363107840,137.08,United States
2470,FirstCash,FCFS,7349434368,165.66,United States
2471,Finning,FTT.TO,7327857819,55.277,Canada
2474,Sprouts Farmers Market,SFM,7303076864,74.73,United States
2482,TTM Technologies,TTMI,7251750400,70.18,United States
2492,Osisko Gold Royalties,OR,7211138560,38.36,Canada
2494,Wingstop Restaurants,WING,7208238080,258.14,United States
2497,Fluor Corporation,FLR,7177897984,44.4,United States
2499,Air Lease Corporation,AL,7176432640,64.21,United States
2502,STAG Industrial,STAG,7156918272,37.52,United States
2503,NexGen Energy,NXE,7154352640,10.93,Canada
2505,PJT Partners,PJT,7147925504,179.87,United States
2510,Urban Outfitters,URBN,7136366080,79.56,United States
2511,Dundee Precious Metals,DPM.TO,7130652737,32.1361,Canada
2522,Ingredion,INGR,7085570048,110.4,United States
2523,PennyMac,PFSI,7081854464,136.28,United States
2524,Sirius XM,SIRI,7081651712,21.03,United States
2526,Ormat Technologies,ORA,7077431808,116.44,United States
2528,FirstService,FSV,7064132608,154.28,Canada
2533,Semtech,SMTC,7044149248,76.12,United States
2538,Light &amp; Wonder,LNW,7028988928,86.22,United States
2539,Vornado Realty Trust,VNO,7022795776,33.64,United States
2542,Virtu Financial,VIRT,7019210240,32.91,United States
2553,Uranium Energy,UEC,6970302464,14.42,United States
2554,Mattel,MAT,6969185792,21.63,United States
2557,Installed Building Products,IBP,6956675072,257.89,United States
2559,Synovus,SNV,6947805696,50.05,United States
2560,Brinker International,EAT,6941488640,156.23,United States
2563,Ollie's Bargain Outlet,OLLI,6936711168,113.1,United States
2564,Keyera,KEY.TO,6933279240,30.239,Canada
2565,Primoris Services Corporation,PRIM,6929649152,128.25,United States
2566,Axalta,AXTA,6920860160,32.44,United States
2567,Federal Signal,FSS,6915759616,113.73,United States
2568,OceanaGold,OGC.TO,6914393125,30.2678,Canada
2571,Liberty Broadband,LBRDA,6907318272,47.88,United States
2572,EXL Service,EXLS,6901456896,42.73,United States
2573,Boyd Gaming,BYD,6901454848,86.07,United States
2577,Simpson Manufacturing Company,SSD,6880172544,165.32,United States
2578,Kirby Corporation,KEX,6877907968,123.26,United States
2581,Cleveland-Cliffs,CLF,6859277824,12.04,United States
2582,Starwood Property Trust,STWD,6853961728,18.04,United States
2586,Prosperity Bancshares,PB,6839721472,70.16,United States
2587,Idacorp,IDA,6832937472,126.43,United States
2603,Littelfuse,LFUS,6778240000,272.2,United States
2606,Eagle Materials,EXP,6766327808,208.52,United States
2608,Element Solutions,ESI,6759057920,27.93,United States
2609,Valley Bank,VLY,6755832832,12.07,United States
2635,Capital Power,CPX.TO,6651718934,42.7472,Canada
2637,Mohawk Industries,MHK,6640037376,106.87,United States
2639,MGIC Investment,MTG,6625231360,28.74,United States
2642,Freddie Mac,FMCC,6604605440,10.16,United States
2643,MSA Safety,MSA,6598687744,168.54,United States
2651,NewMarket Corp,NEU,6558063616,697.88,United States
2660,Glaukos,GKOS,6532052992,113.73,United States
2664,Clearway Energy,CWEN,6512606720,31.96,United States
2668,MarketAxess,MKTX,6490461184,173.71,United States
2672,Comstock Resources,CRK,6470915072,22.08,United States
2675,Lear Corporation,LEA,6466669056,121.54,United States
2681,TXNM Energy,TXNM,6440520192,59.13,United States
2685,Casella Waste Systems,CWST,6401396224,100.82,United States
2686,Chemed,CHE,6401054208,439.28,United States
2694,Hanover Insurance Group,THG,6373936128,178.19,United States
